method,sequence,accuracy,recall,fps,reinit,frames
pmmh,bag,0.668656,0.643694,4.9,16,196
pmmh,bag,0.715096,0.623489,5.02564,11,196
pmmh,bag,0.644025,0.556573,5.44444,11,196
pmmh,bag,0.732949,0.592429,5.44444,9,196
pmmh,bag,0.663604,0.667768,4.35556,7,196
pmmh,bag,0.688966,0.639725,4.35556,9,196
pmmh,bag,0.70239,0.566891,3.76923,10,196
pmmh,bag,0.628332,0.538816,4.9,9,196
pmmh,bag,0.683263,0.578301,5.15789,15,196
pmmh,bag,0.662871,0.533458,5.6,13,196
pmmh,bag,0.687919,0.576928,5.2973,11,196
pmmh,bag,0.661157,0.639043,4.45455,11,196
pmmh,bag,0.650633,0.584315,5.02564,12,196
pmmh,bag,0.712043,0.586414,4.9,8,196
pmmh,bag,0.697147,0.635097,4.66667,9,196
tracker,bag,0.548181,0.55688,49,13,196
tracker,bag,0.574908,0.538774,65.3333,16,196
tracker,bag,0.542279,0.604763,49,21,196
tracker,bag,0.605342,0.633444,65.3333,24,196
tracker,bag,0.612566,0.625144,49,22,196
tracker,bag,0.633519,0.631462,65.3333,25,196
tracker,bag,0.682196,0.636821,49,21,196
tracker,bag,0.680562,0.639879,65.3333,29,196
tracker,bag,0.612883,0.624542,65.3333,26,196
tracker,bag,0.572816,0.628944,65.3333,23,196
tracker,bag,0.513445,0.494387,65.3333,23,196
tracker,bag,0.449084,0.506536,65.3333,1,196
tracker,bag,0.63414,0.638888,65.3333,23,196
tracker,bag,0.627404,0.590886,65.3333,33,196
tracker,bag,0.607487,0.627237,49,24,196
pmmh,ball1,0.477832,0.497477,17.5,18,105
pmmh,ball1,0.546889,0.5636,17.5,19,105
pmmh,ball1,0.486681,0.507425,17.5,18,105
pmmh,ball1,0.51401,0.537231,17.5,18,105
pmmh,ball1,0.503253,0.530945,17.5,19,105
pmmh,ball1,0.54462,0.571179,21,19,105
pmmh,ball1,0.544658,0.560596,17.5,19,105
pmmh,ball1,0.479479,0.49724,17.5,19,105
pmmh,ball1,0.529088,0.555145,15,18,105
pmmh,ball1,0.53387,0.562008,17.5,18,105
pmmh,ball1,0.542274,0.559896,17.5,20,105
pmmh,ball1,0.520565,0.544259,17.5,20,105
pmmh,ball1,0.557312,0.56929,17.5,21,105
pmmh,ball1,0.534785,0.543062,17.5,20,105
pmmh,ball1,0.509257,0.530926,15,18,105
tracker,ball1,0.478504,0.498902,105,17,105
tracker,ball1,0.497419,0.522002,105,19,105
tracker,ball1,0.525096,0.52552,105,16,105
tracker,ball1,0.511904,0.533303,105,17,105
tracker,ball1,0.510026,0.54126,inf,16,105
tracker,ball1,0.518041,0.516861,inf,18,105
tracker,ball1,0.508458,0.507839,inf,16,105
tracker,ball1,0.524686,0.549128,inf,18,105
tracker,ball1,0.490423,0.508588,inf,18,105
tracker,ball1,0.532161,0.529704,inf,21,105
tracker,ball1,0.524199,0.524255,inf,16,105
tracker,ball1,0.491772,0.490486,inf,19,105
tracker,ball1,0.524972,0.524663,inf,19,105
tracker,ball1,0.508738,0.507429,inf,18,105
tracker,ball1,0.526285,0.525934,inf,21,105
pmmh,ball2,0.53566,0.599591,41,8,41
pmmh,ball2,0.550701,0.603076,20.5,8,41
pmmh,ball2,0.682072,0.714368,20.5,7,41
pmmh,ball2,0.492531,0.551364,41,7,41
pmmh,ball2,0.558568,0.647848,20.5,7,41
pmmh,ball2,0.389952,0.422063,20.5,8,41
pmmh,ball2,0.436575,0.475669,41,8,41
