method,sequence,accuracy,recall,fps,reinit,num_frames
pmmh,bag,0.646605,0.574274,4.08333,13,196
pmmh,bag,0.630591,0.631544,2.27907,22,196
pmmh,bag,0.711407,0.662997,4,11,196
pmmh,bag,0.628312,0.665082,2.33333,26,196
pmmh,bag,0.722531,0.600673,4.55814,12,196
pmmh,bag,0.668594,0.597363,4.08333,10,196
pmmh,bag,0.710898,0.667021,3.5,7,196
pmmh,bag,0.711508,0.647254,3.76923,13,196
pmmh,bag,0.644314,0.6377,2.36145,18,196
pmmh,bag,0.652577,0.621895,3.62963,9,196
pmmh,bag,0.647221,0.681095,2.04167,15,196
pmmh,bag,0.619927,0.620509,2.48101,23,196
pmmh,bag,0.702743,0.600797,4.08333,9,196
pmmh,bag,0.700134,0.597217,4.08333,11,196
pmmh,bag,0.635695,0.632612,3.84314,11,196
tracker,bag,0.550518,0.657254,15.0769,15,196
tracker,bag,0.53468,0.672679,16.3333,12,196
tracker,bag,0.634487,0.641469,19.6,18,196
tracker,bag,0.646079,0.682395,19.6,17,196
tracker,bag,0.630604,0.648929,16.3333,14,196
tracker,bag,0.643114,0.691957,17.8182,15,196
tracker,bag,0.653412,0.634472,19.6,18,196
tracker,bag,0.644312,0.658396,19.6,13,196
tracker,bag,0.677277,0.663279,17.8182,13,196
tracker,bag,0.570239,0.673721,16.3333,15,196
tracker,bag,0.640638,0.664698,16.3333,12,196
tracker,bag,0.638023,0.686848,16.3333,15,196
tracker,bag,0.658491,0.658866,17.8182,17,196
tracker,bag,0.463142,0.502244,21.7778,2,196
tracker,bag,0.635358,0.622541,19.6,16,196
pmmh,ball1,0.53121,0.557373,13.125,15,105
pmmh,ball1,0.528294,0.557665,13.125,18,105
pmmh,ball1,0.581365,0.603845,13.125,16,105
pmmh,ball1,0.536966,0.565179,17.5,16,105
pmmh,ball1,0.586033,0.608715,17.5,17,105
pmmh,ball1,0.519684,0.539184,13.125,15,105
pmmh,ball1,0.548064,0.570332,13.125,16,105
pmmh,ball1,0.555576,0.573663,17.5,17,105
pmmh,ball1,0.5445,0.577749,13.125,16,105
pmmh,ball1,0.544994,0.557524,17.5,20,105
pmmh,ball1,0.534995,0.567134,17.5,18,105
pmmh,ball1,0.56423,0.595557,13.125,15,105
pmmh,ball1,0.506343,0.529876,17.5,19,105
pmmh,ball1,0.577819,0.594932,11.6667,15,105
pmmh,ball1,0.531927,0.553282,15,18,105
tracker,ball1,0.525047,0.547813,105,14,105
tracker,ball1,0.516176,0.545995,105,15,105
tracker,ball1,0.542621,0.554946,105,17,105
tracker,ball1,0.549115,0.571104,105,16,105
tracker,ball1,0.539705,0.561193,105,14,105
tracker,ball1,0.518463,0.548501,105,14,105
tracker,ball1,0.569149,0.590269,105,17,105
tracker,ball1,0.530213,0.557605,105,16,105
tracker,ball1,0.563167,0.594811,105,19,105
tracker,ball1,0.516953,0.527388,105,16,105
tracker,ball1,0.580293,0.607266,105,15,105
tracker,ball1,0.557875,0.580028,1.05e+10,17,105
tracker,ball1,0.543871,0.569511,105,16,105
tracker,ball1,0.547563,0.573823,105,18,105
tracker,ball1,0.545481,0.567477,105,15,105
pmmh,ball2,0.495557,0.579312,41,5,41
pmmh,ball2,0.559724,0.634964,41,7,41
pmmh,ball2,0.652765,0.737187,41,5,41
pmmh,ball2,0.587674,0.660475,41,7,41
pmmh,ball2,0.506155,0.56817,20.5,6,41
pmmh,ball2,0.619927,0.695034,41,7,41
pmmh,ball2,0.533066,0.617133,41,7,41
pmmh,ball2,0.600873,0.652255,41,7,41
pmmh,ball2,0.519945,0.582952,41,7,41
pmmh,ball2,0.631326,0.698113,41,7,41
pmmh,ball2,0.540681,0.602408,41,8,41
pmmh,ball2,0.455164,0.534885,20.5,7,41
pmmh,ball2,0.589282,0.667194,41,8,41
pmmh,ball2,0.56958,0.635176,41,8,41
pmmh,ball2,0.651775,0.729107,41,7,41
tracker,ball2,0.55955,0.698813,4.1e+09,5,41
tracker,ball2,0.532481,0.593246,4.1e+09,7,41
tracker,ball2,0.623886,0.719205,4.1e+09,4,41
tracker,ball2,0.545418,0.635086,4.1e+09,7,41
tracker,ball2,0.578441,0.729316,4.1e+09,6,41
tracker,ball2,0.586993,0.700153,4.1e+09,3,41
tracker,ball2,0.599311,0.682081,41,6,41
tracker,ball2,0.633268,0.743522,4.1e+09,6,41
tracker,ball2,0.579663,0.743045,41,4,41
tracker,ball2,0.459988,0.562674,4.1e+09,3,41
tracker,ball2,0.518178,0.61197,4.1e+09,6,41
tracker,ball2,0.595075,0.679637,4.1e+09,4,41
tracker,ball2,0.616159,0.699087,4.1e+09,6,41
tracker,ball2,0.588164,0.664176,4.1e+09,8,41
tracker,ball2,0.528058,0.6087,4.1e+09,7,41
pmmh,basketball,0.682253,0.645274,7.47423,22,725
pmmh,basketball,0.71025,0.692187,7.03883,22,725
pmmh,basketball,0.718962,0.665438,7.17822,22,725
pmmh,basketball,0.683251,0.56795,5.89431,22,725
pmmh,basketball,0.580674,0.565334,5.33088,30,725
pmmh,basketball,0.552138,0.607198,4.50311,27,725
pmmh,basketball,0.667486,0.623823,5.17857,25,725
pmmh,basketball,0.67024,0.644195,7.25,27,725
pmmh,basketball,0.623034,0.643908,4.76974,30,725
pmmh,basketball,0.682943,0.640981,7.32323,19,725
pmmh,basketball,0.545422,0.586611,4.70779,31,725
pmmh,basketball,0.689515,0.632249,5.45113,31,725
