method,sequence,accuracy,recall,fps,reinit,frames
pmmh,bag,0.355379,0.755333,4.26087,15,196
pmmh,bag,0.357938,0.716722,3.56364,18,196
pmmh,bag,0.499657,0.815999,1.83178,15,196
pmmh,bag,0.48944,0.809687,2.25287,9,196
pmmh,bag,0.679933,0.872072,2.30588,17,196
pmmh,bag,0.655651,0.851142,2.22727,13,196
pmmh,bag,0.475879,0.74261,2.8,31,196
pmmh,bag,0.480719,0.786889,2.36145,18,196
pmmh,bag,0.521225,0.846736,2.25287,13,196
pmmh,bag,0.389115,0.725519,4,15,196
pmmh,bag,0.439837,0.762975,2.20225,22,196
pmmh,bag,0.42869,0.789033,4.55814,11,196
pmmh,bag,0.517565,0.790688,3.92,15,196
pmmh,bag,0.418961,0.755181,2.57895,24,196
pmmh,bag,0.436511,0.757903,2.13043,8,196
tracker,bag,0.43049,0.774073,49,15,196
tracker,bag,0.411972,0.738175,49,25,196
tracker,bag,0.507224,0.792035,49,23,196
tracker,bag,0.417113,0.806988,39.2,16,196
tracker,bag,0.513374,0.784196,49,20,196
tracker,bag,0.484251,0.795206,39.2,19,196
tracker,bag,0.560192,0.840516,39.2,10,196
tracker,bag,0.486625,0.788699,49,21,196
tracker,bag,0.577471,0.838869,32.6667,15,196
tracker,bag,0.44856,0.820177,49,14,196
tracker,bag,0.415983,0.737411,49,24,196
tracker,bag,0.512306,0.79891,32.6667,23,196
tracker,bag,0.428728,0.766668,39.2,25,196
tracker,bag,0.409889,0.76816,49,23,196
tracker,bag,0.616542,0.858514,32.6667,12,196
pmmh,ball1,0.337172,0.673916,9.54545,9,105
pmmh,ball1,0.669301,0.854946,9.54545,6,105
pmmh,ball1,0.688019,0.88466,13.125,6,105
pmmh,ball1,0.488885,0.796173,10.5,5,105
pmmh,ball1,0.488714,0.749156,8.75,6,105
pmmh,ball1,0.470131,0.75405,8.75,4,105
pmmh,ball1,0.621636,0.842057,13.125,5,105
pmmh,ball1,0.527066,0.803246,11.6667,6,105
pmmh,ball1,0.451325,0.759804,13.125,6,105
pmmh,ball1,0.470286,0.76978,9.54545,6,105
pmmh,ball1,0.489451,0.794726,9.54545,8,105
pmmh,ball1,0.47084,0.808876,9.54545,4,105
pmmh,ball1,0.611859,0.837368,7.5,4,105
pmmh,ball1,0.725386,0.881821,8.07692,4,105
pmmh,ball1,0.554886,0.807739,13.125,4,105
tracker,ball1,0.668978,0.862624,52.5,4,105
tracker,ball1,0.376128,0.735053,inf,6,105
tracker,ball1,0.612355,0.845828,inf,4,105
tracker,ball1,0.650311,0.848453,105,5,105
tracker,ball1,0.546055,0.813329,inf,4,105
tracker,ball1,0.754181,0.912299,52.5,2,105
tracker,ball1,0.393691,0.69506,105,7,105
tracker,ball1,0.649606,0.832158,105,4,105
tracker,ball1,0.441564,0.748758,inf,9,105
tracker,ball1,0.621661,0.855884,inf,6,105
tracker,ball1,0.583162,0.774663,105,6,105
tracker,ball1,0.763396,0.928028,26.25,2,105
tracker,ball1,0.621776,0.836743,inf,5,105
tracker,ball1,0.583635,0.886186,35,4,105
tracker,ball1,0.470306,0.780184,inf,6,105
pmmh,ball2,0.707894,0.855883,20.5,3,41
pmmh,ball2,0.780771,0.819926,20.5,6,41
pmmh,ball2,0.829549,0.875241,41,5,41
pmmh,ball2,0.805241,0.864836,13.6667,3,41
pmmh,ball2,0.853977,0.898431,20.5,2,41
pmmh,ball2,0.805344,0.905679,13.6667,3,41
pmmh,ball2,0.63486,0.791907,20.5,4,41
pmmh,ball2,0.805203,0.860528,20.5,5,41
pmmh,ball2,0.902562,0.91656,13.6667,3,41
pmmh,ball2,0.878086,0.891986,20.5,4,41
pmmh,ball2,0.707571,0.804135,20.5,4,41
pmmh,ball2,0.805148,0.87608,20.5,4,41
pmmh,ball2,0.756447,0.853442,20.5,4,41
pmmh,ball2,0.732138,0.842884,20.5,3,41
pmmh,ball2,0.634701,0.792607,41,4,41
tracker,ball2,0.805482,0.886512,inf,3,41
tracker,ball2,0.853795,0.913289,41,3,41
tracker,ball2,0.659064,0.811186,inf,4,41
tracker,ball2,0.878272,0.942209,inf,2,41
tracker,ball2,0.780808,0.835512,inf,5,41
tracker,ball2,0.805382,0.889423,inf,3,41
tracker,ball2,0.87827,0.899872,inf,4,41
tracker,ball2,0.659124,0.840643,inf,3,41
tracker,ball2,0.805503,0.899158,41,3,41
tracker,ball2,0.805162,0.835687,inf,6,41
tracker,ball2,0.63477,0.807707,inf,4,41
tracker,ball2,0.537348,0.785947,inf,2,41
tracker,ball2,0.610382,0.78404,inf,2,41
tracker,ball2,0.732051,0.851748,inf,3,41
tracker,ball2,0.805293,0.872486,inf,3,41
pmmh,basketball,0.648503,0.898,4.53125,17,725
pmmh,basketball,0.566767,0.8557,6.90476,30,725
pmmh,basketball,0.496325,0.844138,6.97115,17,725
pmmh,basketball,0.508295,0.849112,4.76974,25,725
pmmh,basketball,0.504773,0.851933,4.61783,31,725
pmmh,basketball,0.509871,0.826668,6.14407,26,725
pmmh,basketball,0.544284,0.865715,4.61783,34,725
pmmh,basketball,0.634736,0.892332,6.41593,19,725
pmmh,basketball,0.586794,0.860804,4.50311,26,725
pmmh,basketball,0.439691,0.726031,5.41045,28,725
pmmh,basketball,0.534503,0.854939,4.53125,25,725
pmmh,basketball,0.558296,0.873438,4.64744,24,725
pmmh,basketball,0.553106,0.841877,4.44785,32,725
pmmh,basketball,0.497404,0.843932,4.70779,25,725
pmmh,basketball,0.553885,0.831451,6.47321,22,725
tracker,basketball,0.601426,0.850803,45.3125,23,725
tracker,basketball,0.555249,0.872801,32.9545,17,725
tracker,basketball,0.52473,0.830191,48.3333,29,725
tracker,basketball,0.500519,0.83124,42.6471,23,725
tracker,basketball,0.526894,0.83409,48.3333,26,725
tracker,basketball,0.566532,0.861987,34.5238,31,725
tracker,basketball,0.637963,0.882313,25.8929,19,725
tracker,basketball,0.602175,0.887808,42.6471,21,725
tracker,basketball,0.490659,0.832844,45.3125,33,725
tracker,basketball,0.553267,0.851163,40.2778,29,725
tracker,basketball,0.5822,0.864871,51.7857,27,725
tracker,basketball,0.590501,0.862159,32.9545,20,725
tracker,basketball,0.50415,0.832258,38.1579,21,725
tracker,basketball,0.546052,0.860948,40.2778,21,725
tracker,basketball,0.649388,0.894922,38.1579,30,725
pmmh,birds1,0.480794,0.664806,12.5556,91,339
pmmh,birds1,0.418978,0.634631,13.0385,83,339
pmmh,birds1,0.437025,0.652689,11.6897,83,339
pmmh,birds1,0.436495,0.63589,13.0385,94,339
pmmh,birds1,0.389595,0.606202,10.9355,100,339
pmmh,birds1,0.424979,0.631892,13.56,98,339
pmmh,birds1,0.387091,0.62832,10.2727,89,339
pmmh,birds1,0.442733,0.656569,9.97059,86,339
pmmh,birds1,0.439426,0.635221,9.97059,95,339
pmmh,birds1,0.504156,0.679191,11.6897,82,339
pmmh,birds1,0.456887,0.620111,12.5556,95,339
pmmh,birds1,0.46569,0.649818,10.5938,90,339
pmmh,birds1,0.437391,0.669483,9.68571,82,339
