method,sequence,accuracy,recall,fps,reinit,frames
pmmh,bag,0.692103,0.660663,2.39024,17,196
pmmh,bag,0.759743,0.595446,4.55814,11,196
pmmh,bag,0.674775,0.624574,2.41975,15,196
pmmh,bag,0.652142,0.649467,2.17778,17,196
pmmh,bag,0.650559,0.642391,2.41975,22,196
pmmh,bag,0.677008,0.502732,4.66667,6,196
pmmh,bag,0.688543,0.658095,3.92,11,196
pmmh,bag,0.733023,0.588676,4.66667,12,196
pmmh,bag,0.721639,0.586266,4.55814,11,196
pmmh,bag,0.705339,0.62172,4,12,196
pmmh,bag,0.625182,0.631254,2.13043,18,196
pmmh,bag,0.624363,0.580298,2.54545,18,196
pmmh,bag,0.69774,0.62577,4.17021,9,196
pmmh,bag,0.682207,0.651112,2.54545,21,196
pmmh,bag,0.72384,0.663758,4.08333,12,196
tracker,bag,0.637444,0.613587,21.7778,15,196
tracker,bag,0.658207,0.647525,19.6,22,196
tracker,bag,0.626214,0.671964,17.8182,12,196
tracker,bag,0.626098,0.640972,19.6,18,196
tracker,bag,0.632584,0.644478,17.8182,18,196
tracker,bag,0.577759,0.683586,16.3333,9,196
tracker,bag,0.698902,0.707392,19.6,10,196
tracker,bag,0.698052,0.694605,21.7778,21,196
tracker,bag,0.641516,0.634049,21.7778,23,196
tracker,bag,0.663569,0.665024,21.7778,20,196
tracker,bag,0.65705,0.685333,19.6,19,196
tracker,bag,0.670689,0.67285,21.7778,21,196
tracker,bag,0.693755,0.694076,17.8182,15,196
tracker,bag,0.601552,0.661465,17.8182,13,196
tracker,bag,0.705259,0.695696,19.6,20,196
pmmh,ball1,0.557801,0.58214,13.125,17,105
pmmh,ball1,0.549975,0.574454,17.5,19,105
pmmh,ball1,0.563705,0.59404,21,18,105
pmmh,ball1,0.544038,0.574711,13.125,14,105
pmmh,ball1,0.533808,0.566593,13.125,17,105
pmmh,ball1,0.561495,0.592479,21,18,105
pmmh,ball1,0.573341,0.588186,17.5,18,105
pmmh,ball1,0.548792,0.579687,17.5,15,105
pmmh,ball1,0.567248,0.598491,13.125,17,105
pmmh,ball1,0.559432,0.583723,13.125,18,105
pmmh,ball1,0.542141,0.569215,17.5,17,105
pmmh,ball1,0.513692,0.539128,13.125,18,105
pmmh,ball1,0.554379,0.577583,17.5,17,105
pmmh,ball1,0.562263,0.586858,13.125,15,105
pmmh,ball1,0.563887,0.589895,21,17,105
tracker,ball1,0.540854,0.569607,105,16,105
tracker,ball1,0.553804,0.570051,105,14,105
tracker,ball1,0.528422,0.546731,105,14,105
tracker,ball1,0.557192,0.57679,105,15,105
tracker,ball1,0.560308,0.580024,105,17,105
tracker,ball1,0.554309,0.576459,105,17,105
tracker,ball1,0.556681,0.550864,105,14,105
tracker,ball1,0.557821,0.588686,105,17,105
tracker,ball1,0.54258,0.561655,105,15,105
tracker,ball1,0.598303,0.605579,105,18,105
tracker,ball1,0.536287,0.562289,105,16,105
tracker,ball1,0.539456,0.564371,105,15,105
tracker,ball1,0.523908,0.542254,105,18,105
tracker,ball1,0.55171,0.577538,105,14,105
tracker,ball1,0.576866,0.604608,105,13,105
pmmh,ball2,0.613702,0.693412,41,6,41
pmmh,ball2,0.593214,0.663667,41,9,41
pmmh,ball2,0.45601,0.520378,41,7,41
